text	category
സൂപ്പർ.... നല്ലതാണോ അല്ലയോ എന്ന് നോക്കൂ.	Negative
Adyam dislike adichu pinne at remove chytu ippo likum	Positive
എനിക്ക് സീരിയസ് മോദി കാർത്തിയെ ഇഷ്ടമാണ് ബ്രോ, ഇത് സ്പെക്റ്റിനെക്കാൾ മികച്ചതാണ്	Negative
എനിക്ക് ട്രെയിലർ കാണാൻ കഴിയില്ല, നമുക്ക് സിനിമ കാണാം	Negative
ഈ വേഷം ഇങ്ങനെ അല്ലാതെ എങ്ങനെ ചെയ്യാനാ?? എന്നു തോന്നിയവർക്കു....	unknown_state
Nalu bengaligal nalu sidum manuvari ital therunathe ollu ninta japan	unknown_state
Adipoli   adipoli  adipoli  super	Positive
ഒടിയനിൽ കിട്ടിയത് ലൂസിഫർ ല്‌ തീർത്ത പോലെ മമ്മൂകക്ക്‌ മാമാങ്കത്തിൽ കിട്ടിയത് തീർക്കാനുള്ള item	Positive
Sir I am ur big fan sir ....  From Vijayawada Andhra Pradesh	not-malayalam
ഈ ഗാനം പാടിയ സൂരജ് സന്തോഷിനും ആൻ എമിക്കും കൂടി ഇരിക്കട്ടെ ഒരു കുതിര പവൻ..	Positive
ഓരോ ഇടിക്കു ശേഷവും ഏട്ടന് തുമ്മൽ വരുന്നുണ്ടന്നു തോന്നുന്നു  🥴	Negative
Dileepnte jeevidha kadha ano e cinima	unknown_state
Bgm... എവിടെ ഒക്കെയോ രാക്ഷസൻ Bgm  കേറിവരുന്നു..... നിങ്ങൾക്കു തോന്നിയോ...	Mixed_feelings
കിടുക്കാച്ചി... വിയറ്റ്‌നാം കോളനിയിലെ മികവ് ലേഡീസ് and ജന്റിൽമാനിൽ കാണാൻ കഴിഞ്ഞില്ല.. അത് ഇതിലൂടെ പരിഹരിക്കാൻ കഴിയട്ടെ... സിദ്ദിഖ് sir ന്... (my fvrt drctr)	Positive
love from a diehard lalettan fan	not-malayalam
പട താണ്ഡവം സിനിമ സിസ്‌സെൻസിൽ മാറ്റുമെന്ന് തോന്നുന്നു..ഹായ് ബി ആഹ് കഥ എടുത്താൽ ഒരു വരി മുട്ടുമടക്കും.നോക്കാം...	Negative
Jhan oru fan anu .... prithviraj Fan...	unknown_state
ഒരു കലണ്ടര്‍ വ൪ഷത്തില്‍ രണ്ട് നൂറ് കോടി ചിത്രങ്ങള്‍ ഉള്ള മലയാളത്തിലെ ഏക നടനായി മമ്മൂക്ക..	Positive
Waaaawwwwwww...    No words....  mommukkaaa	not-malayalam
Espt War Violence ഒരു വിജയ് ടിവി സീരിയൽ പോലെയാണ്	Negative
Waiting.....  for mamankam എത്രപേർ	unknown_state
marana mass Lalettan  From Tamilnadu	Positive
ith Challi annu ennu urapulavark like adikam	unknown_state
ആരോ ഒരാൾ അല്ല.. എന്റെ ഏട്ടൻ..  My Big Brother	unknown_state
രജനി തന്നെ ഒരു നാഥരി ആണ്	Negative
Ith kandit engana dislike cheyyan thonnane? Sambhavam kidu aait undallo	Negative
ചില തിന്മയെ ജയിക്കാൻ ദേവൻ അയാൾ പോരാ അതിനു അസുരൻ തന്നെ അവതരിക്കണം	unknown_state
എനിക് ഒരു 369 like തരണം Only 369	unknown_state
നീ ഉണരണം, രശ്മിക നിന്നെ കാണണം	Negative
വിനീത് ഏട്ടൻ ഫാൻസ് ഒന്ന് ലൈക്‌ അടിച്ചേ	unknown_state
First show kanum enn urappullavar like adi	Positive
ഒരു പിടിയും തരാത്ത ട്രൈലെർ ആണ്.. അതോണ്ട് തന്നെ ഒരു മാസ്സ് ഫാമിലി എന്റർടൈൻമെന്റ് പ്രതീക്ഷ ഉണ്ട് കേട്ടോ	Positive
50 ൽ കൂടുതൽ തവണ കേട്ടൂ എന്നുറപ്പുള്ളവർ മാത്രം ലൈക് അടിക്കൂ ..... #addicted	Positive
Eee trailer trendingil thanne nilkanam. Orupadu alukalilek ee trailer ethicheranam	unknown_state
നിനക്കിനി മലയാള ഇൻഡ്രസ്റ്റിയിൽ നിന്ന് പുളക്കാൻ പറ്റുമോ?  ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ സാറെ	unknown_state
urutam sounded a bit funny korachum koode punch avarunnu still super movie villain njerichu super	Mixed_feelings
അൽപ്പം ധാരണയുണ്ടോ എന്ന് കാണാൻ കഴിയുന്നില്ല	Negative
അട പാവങ്ങൾ ഇവളോ ഡിസ്‌ലൈക്കുകൾ ആഹ് 🤔	Negative
അയ്യോ മുതലാളി, ഈ മുതലാളി ഒരു ഗ്രൂപ്പ് കഠോബദ്‌ലാലൂ ആണ്. ലളിത ജീവിതം സൂപ്പർ ആണ്	Negative
ഷെയിൻ കൈ കുത്തി മറിയുന്നത് റിപീറ് അടിച്ചു കണ്ടവർ ലൈക് അടിക്കാനുള്ള കമന്റ് 🤸	unknown_state
സെസ്സിയ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്യ്..	Negative
അസൂയയുള്ള ബോളിവുഡ് ആരാധകരിൽ നിന്ന് 13K ഡിസ്‌ലൈക്കുകൾ	Negative
Edo jayachandra than melil ee kootharye kondu  paadiksle ellam ore type thaniku vere paniku poyikoode	Negative
ഒരുപാട് പേർ അഭിനയിക്കുന്നുണ്ട്...സംഗീതത്തിന് വലിയ പ്രാധാന്യമുണ്ട്	Negative
തോ! അടുത്ത മുത്ത് എത്തി! ജാതി, മൈരു നു.ഇപ്ടിയേ മനുഷ്യരെ ഭ്രാന്ത് ആക്കി വിടൂ, നീ തണുക്കൂ	Negative
ആരാണ് ഈ ട്രയ്ലർ എഡിറ് ചെയ്തത്? ഒരു സ്റ്റാൻഡേർഡ് ഇല്ലാത്ത ഊമ്പിയ എഡിറ്റിംഗ്. ആദ്യം the complete actor Mohanlal എന്നുള്ളത് കണ്ടപ്പോ ഞാൻ വിചാരിച്ചു ഏതോ ഊച്ചാളി പയ്യൻസ് എഡിറ്റ് ചെയ്ത് ആണ് എന്ന്. നല്ല വളിപ്പ് എഡിറ്റ്	Negative
ആ മൂക്കുത്തി ഉണ്ണിമുകുന്ദൻ മുത്തൂറ്റിൽ പണയം വച്ചതാണെന്ന് എത്ര പേർക്കറിയാം...	unknown_state
കോമള വേറെ ലെവൽ ഡസ്റ്റർ ഡാ	Negative
Malayalathile nadanmar vere level anu Pani ariyavunna oru director nte kayyil kittiya  matte industry le nadanmar nammude nadanmarude munnil onnummalla...Salim Kumar,suraj,Indrens Okk udaharanm	Positive
അരവിനാദ ഓമ്മല ഓക്കാ.. അങ്ങാ സുട്ടാ ഇങ്ങാ എടുക്കു ഉമ്പുരാ.. ഉമ്മ പുണ്ടാ ഓത തേവിട്യാ പുണ്ടാ മാവനേ.. ഓംക്ലാ ഒക്കാ.. സുന്നി മാവനെ ഉമ്മ പുണ്ടാ പരുപ കിളിച്ചിരിക്കുവെൻ തേവിടിയ മാവനേ.. ശരിയാനാ കാരണം പറയാ പുണ്ടാ വന്തേരിനാ..	Negative
Mammooka fans delhi like here	not-malayalam
Padchone ithippo rajayude koode ano irngunnad Pani palum pole thonnunnu	Mixed_feelings
പടം പൊട്ടില്ല എന്ന് ഉറപ്പുള്ളവർക് like അടിക്കാം....... നല്ല ഒരു ത്രില്ലെർ ആയിരിക്കും	unknown_state
0:47 aa chiri adar villanism thanne	Positive
Kerala thalaivarr Mammokka verithanam🤩🥰 PETTA dialogue ultimate Rajkiran sir super	not-malayalam
ദേയ് കേൾക്കു കുത്തി അജിത് ഇവന്യാ യാരു നടിക സോന🤢🤢🤢	Negative
പടം കണ്ട് കഴിഞ്ഞു പാട്ട് കാണുമ്പോൾ ഒടുക്കത്തെ ഫീൽ ആണ്........	Positive
മാമാങ്കം ടീസർ ന് വേണ്ടി wait ചെയ്യുന്നവരുണ്ടോ ഇവിടെ.???	unknown_state
രാജ്യത്ത് കോൺഗ്രസ് ഒരു ജാതിയാണ്	Negative
Aaruvaadee dislike adich ponath ithrakk kazhappoo	Negative
Romanjification Mammookkaaaa ingal vere level annn  mammookakk koduthe makkale oru like	Positive
ഞങ്ങളുടെ ജാതി തന്നെയാണെന്ന് പെരുസു മസൂരു പറയാൻ ഞങ്ങൾ സിനിമ എടുക്കുന്നു	Negative
##ഗീതു മോഹൻ ദാസ്##  കോഴി കളിച്ചു നടന്ന നിവിനെ പിടിച്ചു ഇങ്ങനെ അഭിനയിപ്പിക്കാൻ പഠിപ്പിച്ചതിനും ആക്ടിങ് ക്‌ളാസ്നു വിട്ടു ശരിയാക്കിയതിനും നന്ദി പറയേണ്ടത് ഗീതു മോഹൻദാസിനോട് ആണ്.	Positive
ആമയെ വരെ വെള്ളത്തിൽ മുക്കി കൊല്ലുന്ന ഇനമാ .... ഹരീഷ് കണാരൻ റോക്ക്സ്	Positive
0.44 നമ്മുടെ കോട്ടയത്തിന്റെ സ്വന്തം പണി തീരാത്ത ആകാശ്പാത	unknown_state
Trending 1 just 5 hours	not-malayalam
Comment nokki kayijall pine trailer kannam	unknown_state
അവിടെ കാണുന്ന സിനിമയല്ല തിയേറ്റർ.	Negative
ഹെഡ് സെറ്റ് ഉപയോഗിച്ച് കേൾക്കണം ചങ്ങായി.. എജ്ജാതി.. ഇടിക്കട്ട വെയിറ്റിംഗ്	Positive
Ee thavanathe onam pooramakkan  itty maani varunu	Positive
അതെ സർ.. കാണാത്ത സിനിമ നമ്മുടെ ആളുകൾക്ക് കാണാൻ കഴിയില്ല	Negative
Aa pokkamula chechiyanoo prachi...dance onnum oru menayakanillalla sajiii	Negative
Ittymani kazhinjal pinne adutha padam Marakkar !! Like adiche	unknown_state
ഇതു ഈ അടുത്ത എങ്ങാനും ഈ പടം eraguvoo	unknown_state
Ithinokke dislike adichavanmare okk adichu kollanamm ettan uyirr	Negative
Dileepetan and nadirshaikka .sideeqikka itu pwolikum .dieelpetan snehikunnavar like adichu poyikolu	Positive
Lalettan Vere level Plus Rajuvettan Direction  And Tovino Mass	Positive
Ekkakkum Akkakkum Mohanlal fansinte full support undakum	Positive
Appo Christmas rajuettanum surajettanum angu kondu poyi	Positive
ഇക്ക ഇല്ല അതോണ്ട് ലയ്ക് ഇല്ലാ ...	Negative
ഇതൊരു രക്ഷയും ഇല്ലാ പൊളിക്കും ഇച്ചായൻ മാജിക്‌ ആണ്,,	Positive
അജിത്തിന് ആളെ തിന്നാൻ പേടിയാണ്.കാലില്ലാത്ത തമിഴൻ ഹൈജമ്പിൽ ഏഷ്യൻ മെഡൽ നേടി.അയാളെ പുകഴ്ത്താൻ ഒരു കൂസലുമില്ല.	Negative
lalettante margamkali oru rakshayumillaaa muth lalettannn	Positive
Super aakumennu ariyamayirunnu pakshey etu maha maha soooper....	Positive
koora lyricsum jayachandrante kooraa tuneum parama kastam	Negative
അടുത്ത ഐറ്റം വരുന്നുണ്ട് മക്കളെ ‍ ഇതു  പൊളിക്കും	Positive
ഒരു 1 million like Kodukku mammuka ഫാൻസ് റെഡിയല്ലേ	unknown_state
Ikkaaaaa waiting for 12th April	not-malayalam
എന്റെ പുതിയ യൂട്യൂബ് ചാനൽ ആണ് MY WAY BY RIYAS AHAMMED. കുറച്ചു ട്രയൽ വ്ലോഗ്കൾ ചെയ്തിട്ടുണ്ട്.സാമഗ്രികൾ വാങ്ങിച്ചു കൂടുതൽ നല്ല വീഡിയോസ് ചെയ്യാനുള്ള തയ്യാറെടുപ്പിലാണ്. വീഡിയോസ് കണ്ടു subscribe ചെയ്തു സപ്പോർട്ട് ചെയ്യാമോ . , തൊട്ടു അടുത്ത് കാണുന്ന നോട്ടിഫിക്കേഷൻ ബെൽ ബട്ടൺ കൂടെ അമർത്തുക	unknown_state
Endhu oru song dyusam aringalum ketkarundo??	unknown_state
Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	Negative
Pulimurukan chaya kachiyathu pole thonniyathu enikku mathramano...	Mixed_feelings
Madhura Raja ....Pokkiri Raja....Rajadhi Raja...Bellaadi Raja Raja Always Mammookka Da	Positive
Daii enda aepo pathalum Engg paper epdi vachu pandrenga avenga mark potu pass Potu vida ready ah erundhalum നീ എന്താ മദിരി ഷൂട്ട് പാനി അവെങ്കാല ഡൈവേർട്ട് പണ്ട്രേങ്ങാ ദാ...നീങ്ങാ കഷ്ടംനു സ്ലി അവങ്കലും നമ്പ വച്ചു ഫൈൽ പോരാങ്ങാ.. .nonsense	Negative
Triple strong kkaaar okke evideyanavo?entho?oru vivarom illa?	unknown_state
Addictt aayyiii makkaallee ... ith kelkkaatha oru dhivasam polum illa	Positive
Padam polichadakki makkale ingalu... Fahad ejjathi item... Soubin best... Shane... Pwoli.... Aaa penkutty... Ellarum  thakarthu...	Positive
Climax dialog.... verum satyam mathram. Qurbana- pothirachi	unknown_state
Pwoli.. Keralathil kittiyillel telugil um hope ind	Positive
മാമങ്കം മൂവിക്ക് ഇനി മണിക്കൂർ മാത്രം കാത്തിരിക്കുന്നവർ like	unknown_state
കാർട്ടൂൺ ഒരു പുറംതൊലി ആണ്	Negative
Ettan fan adichu polikyeda like button	unknown_state
ബോഡംഗു ദേവിഡിയ പണ്ടൈ തമിഴൻ വില്ല മനസ്സിലാക്കുന്നു	Negative
Visuals poraa ennum paranju kurachu per karayunnundallo	unknown_state
Dileep eettan fans like here	not-malayalam
എന്താണ് ചെയ്യേണ്ടതെന്ന് നേതാവിനെ അറിയിക്കുക	Negative
Onnil kooduthal kandaavar ividea like adikk..nan.matram ano	unknown_state
പെൺകുട്ടികളുടെ കഥാകുര നാടകത്തിന് തിരുമാവളവൻ പല്ലൻ പറയനു.	Negative
ഇതിലും മികച്ചത് കോളേജ് കുമാരനിലെ bgm ആണ്	Negative
ഇതൊക്കെ ആണ് ധൈര്യം പടം വിജയിക്കാണേൽ വലിയ താരങ്ങൾ വേണ്ടാന്നും, ബഡ്ജറ്റ് ഫിലംസ് താരങ്ങളേക്കാൽ ചേരുന്നത് യൂത്തൻ മാർക്കാന്നും	Positive
ഈ ഡയലോഗ് എടുത്തിരിക്കുന്നത് national gamesന്റെ  ഉദ്ഘാടനം കാര്യവട്ടത്തെ സ്‌റ്റേഡിയത്തിൽ നടന്ന ദിവസം മോഹൻലാൽ ലാലിസത്തിന് മുൻപ് അവതരിപ്പിച്ച പ്രെസെന്റഷനിൽ നിന്നാണ്... അല്ലാതെ സിനിമയ്ക്കായി ചെയ്തത് ഒന്നുമല്ല... ഇത് fan made trailer ആണ്... യഥാർത്ഥ മൂവിയുമായി ഇതിനു ഒരു ബന്ധവും ഇല്ല....	Positive
യവാദ്രു ഹബ്ബ രാജ ദിനയിൽ റിലീസ് ചെയ്യേണ്ടിയിരുന്നതാണ്..	Negative
ഈ പാട്ടിൽ  കണ്ട BSNL നമ്പറായ 9495008009 ൽ എത്ര പേർ വിളിച്ചു?	unknown_state
@trollmonster_kannada ലായ് ഡാഗർ ഫാൻസു ജഗ്ഗു ദാദാ ഫ്ലോപ്പ് യു കുരുക്ഷേത്ര ഫ്ലോസ് താരക് ഫ്ലോപ്പ് യു	Negative
കാത്തിരുന്നോ ഒരു അങ്കത്തിനുള്ള പുറപ്പാടിലാ ഏട്ടനും പിള്ളേരും	Positive
പടം കണ്ടതിനു ശേഷം vannavar ആരെങ്കിലും ഉണ്ടോ, ഇവിടെ	unknown_state
Theaterukal origiko June 16 house full perumazayayirikum	Positive
തന്‍റെ അഭിനയ കഴിവ് കൊണ്ടാണ് പൃഥ്വിരാജ് എന്ന നടന്‍ ജനിച്ചത്,എന്നും ഈ നടനോട് ആരാധന അല്ല ബഹുമാനം ആണ്	Positive
Dorayum maappum undel ippo kittum mookuthi..	unknown_state
Mass pakka mass lalettaaa #poli	Positive
oru nimishathekk  bigbossine oormavannathu enikku maathramaano?	unknown_state
കിടിലോസ്ക്കി.... എത്രയോ വർഷമായി ഒരു സിനിമയുടെ ട്രയ്ലർ ഒന്നിലധികം തവണ കണ്ടിട്ട്..ഓരോ തവണ കാണുമ്പോളും പിന്നേം കിടിലോസ്ക്കി...	Positive
Rocking star yash fans Karnataka trailer is superb movie  is BLOCKBUSTER	not-malayalam
മാമാങ്കം Review പഴശ്ശിരാജ പ്രതീക്ഷിച്ച് ആരും കാണരുതേ  മാമാങ്കം എന്ന വാണിജ്യമേള.സാമൂതിരി വള്ളുവനാടൻ കുടിപക.ചാവേറുകളുടെ ചരിത്രം. ഇതാണ് കഥ .പിന്നെ ഒരു സാദാ പ്രേക്ഷകന് അനുഭവപെട്ടത് പറയാം. കുറെ പറക്കുന്ന സീനുകൾ ഉണ്ട്. യുക്തിക്ക് നിരക്കാത്ത സ്റ്റണ്ട്. വായുവിൽ ചവിട്ടി പറക്കുന്നതെങ്ങനെയെന്ന് പടം കണ്ടാൽ മനസ്സിലാകും. ഡയലോഗ് വളരേ  lagging ആണ് .മനസ്സിലാക്കാൻ കുറച്ച്പാടുപെടും.പിന്നെ കോമഡി ഇല്ലന്ന് പറയുന്നത് തെറ്റാകും. കാരണം മമ്മൂട്ടിയുടെ സ്ത്രീ വേഷത്തിലുള്ള ഡാൻസ് മാത്രം മതി ചിരിക്കാൻ.പോട്ടെ vfx വളരെ മോശം. സ്വഭാവികത ഇല്ലാത്ത ഇമ്മാതിരി vfx,ഒരു മാതിരി സീരിയൽ പോലെ ക്ലോസ് അപ് ഷോട്ടുകൾ. Cinematography ഒട്ടും പോരാ... അവസാനത്തെ മമ്മൂട്ടി സിദ്ധിക്ക് വാൾ പയറ്റ് കാണാൻ മറക്കരുതേ... കഥ പറയുന്ന രീതിയും,  സ്റ്റണ്ടും, സീരിയൽ പോലെ കാമറ പിടുത്തവും മെച്ചപെടുത്തി ഒരു ആക്ഷൻ ത്രില്ലർ ആക്കിയിരുന്നെങ്കിൽ നന്നായേനേ. മാസ്മരിക മായാ മാമാങ്കം എന്നൊക്കെ എന്തിനാവോ പറയുന്നേ... ആ ഒടിയൻ സിനിമയിൽ ഒടിയന് അതിമാനുഷകത്വം ഉണ്ടെന്നെങ്കിലും പറയാം., ഇത് എന്ത് കണ്ടിട്ടാണോ സിനിമ ഇറക്കിയത്. മുടക്കിയ പൈസ പോയി കിട്ടി..	Negative
Sema promising trailer da.. Movie mattum super hit achuna ennum nalla irukum.	not-malayalam
അഴിമതിയാണ് നമ്മുടെ രാജ്യത്ത് ആദ്യം ഇല്ലാതാക്കേണ്ടത്	Negative
നിങ്ങൾ മദാപ്പ ഗോ കമ്പോസ് ചെയ്യൂ	Negative
@നന്ദി പാർത്ഥസാരഥി നദിയോലെ സുലേ പുത്രൻ നാമ ശൈലി നാമ ഇഷ്ട് നിങ് യാക്കോ ടിക ഉറി	Negative
പെണ്ണിന് പകരം ഇരുമ്പിന്നെ സ്‌നേഹിച്ച ആണ്പിള്ളേരുടെ സാമ്രാജയം - Royal Mech	unknown_state
സ്വാസുവിന് ബിഗ് സ്ക്രീനിലേയ്ക്കുള്ള ശക്തമായൊരു തിരിച്ചു വരവിന് PMJ വഴിയൊരുക്കട്ടെ.എല്ലാവിധ ആശംസകളും SWASIKA & PMJ Team AKSFA	Positive
ഈ ഓണത്തിന്റെ  collection ഇട്ടിമാണി(ലാലേട്ടൻ )അങ് എടുത്തു മക്കളെ ലാലേട്ടൻ ഉയിർ	Positive
എന്റെ പൊന്നു പാപ്പാൻ ചേട്ടാ ഒന്നു വേഗത്തിൽ വിട്യോ....ഈ ഓണത്തിന് എറക്കാനുള്ളേണ്.... <3 <3 :*	unknown_state
പ്രേം ചക്ക് ബ്ലൂറ്റുകളെ അഭിനന്ദിക്കുന്ന ബ്ലോക്ക്ബൂസ്റ്റർ	Negative
Jaathee mathangalkk adheedhamaayi manushyaneyaanu snehikkendath enna threadil cinema thudangi athe threadil cinema avasaanippicha samvidaayakanu irikkatte oru kuthirappavan	Positive
Arenkilum poi aa  srreeeekumaarane onnu vilich kaanich kodukkedoo  entha  etha  cinemannu  .....&&&&@@@	Negative
ജോജു അടുത്ത സൂപ്പർസ്റ്റാർ. ഈ പടം പൊളിക്കും.	Positive
Ettante katta fans oke Onnu like adiche	unknown_state
ഹയ്യൂ.. ഈ മുഞ്ചി ഹീറോ റോളിന് യോജിച്ചതല്ല.	Negative
Ini kando... Adiude Ideude Vedi pooram......🧨🧨	Positive
September 5 ശേഷം ഈ പാട്ട് കേൾക്കുന്നവർ ഉണ്ടോ	unknown_state
കോള കണ്ടു ഇത്തം റൂട്ട് ലെവൽ മാസ് ലീഡർ	Negative
പന്നികൾ യൂട്യൂബ് ഉപയോഗിക്കുന്നു.....അവരും ഡിസ്ലൈക്കുചെയ്യുന്നു..nn.	Negative
ഞങ്ങ ഇ പടം ഏറ്റ് എടുക്കുവാട്ട...  royal mech	Positive
അതേ അതേ, പ്രതി പൂവൻ കോഴി ദിലീപ്, വാദി, പിടക്കോഴി മഞ്ജു	unknown_state
Raja pulimurukanumayi Similarity und jagapathy babu dubbing  Bgm  fight location  Siddique police	Mixed_feelings
ഇത് പൊളിക്കുംട്ടാ സൂപ്പർസ്റ്റാറുകൾ ഇല്ലാതെ തിയേറ്റർ ഇളക്കി മറിക്കാനുള്ള വകയുണ്ടെന്നു തോന്നുന്നു,നല്ല സിനിമാപ്രേമികൾ കട്ടക്ക് നിന്നാൽ	Positive
nylutty fans vannu adi like.not swasutty	unknown_state
Eee song oru 1000 vattam keyttindavum	Positive
രോമാഞ്ചം....  ഇക്കാ..  love u...	Positive
‍ Venda kutta uruttam  Aaah pwoli Background music	Positive
ഏട്ടൻ ഫാൻസ്‌ ലൈക് അടിച്ചു തൂക്ക്	unknown_state
Bogan,  Fan,  Bayya,  എന്റമ്മമോ	unknown_state
Entha oru enegy nammude daddy girigayum undu ithu polikum	Positive
ടീസറും ട്രെയിലറും കണ്ടപ്പോള്‍ പടം ഹിറ്റാകുമോ എന്ന് തോന്നിയിരുന്നു ഈ പാട്ട് കണ്ടതോട് കൂടി അത് മാറി ഇത് ഹിറ്റ് അല്ല BB ആകും ലാലേട്ടന്‍ കി ജയ്	Positive
