text_trans	category
dayavittu bidugade dinankavannu heli	Negative
@Nandi Parthasarathi yake hudukondu bandre tullu kodtiya beversi	Negative
Suprb song rakhit shety karnataka boss	not-Kannada
E song first time yarig tilidila avr like madi	unknown state
Nange e dia movie est ista agide Andre adu kevala word inda helok agalla	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
@Prasad Raj tulunad and kannada bashe meli abhimana super guru	Positive
@TROLL MONSTER_KANNADA le sakat dialouges kanla..... next nim boobs film ge neene ide dialouges na haakolli.... hengidru ade thaane yelru maathadodu.... film nodkondu yella fans galu obrann obru baikond iri....🤣	Positive
chenagide anta Pade pade nodoru swalpa husharu Data khali aguthe	Positive
namm prajval bos ge ond olle yashassu anna codli i chitra	Positive
@sachin Mankar hu bro	Mixed feelings
Diya sandalwood new queen.	Positive
#Shanvi_Srivatsava  #Rakshit_Shetty best pari forever   #Rashmika_Mandanna	Positive
Super video	Positive
Ibrunu kannadadavre ibru belibeku. support maadi compare maadbedi	Positive
kshamisi.... obaleyatanakke illi bele ill...	Negative
I do like Guru Deshpande Movies. Im gonna rush	not-Kannada
Nani kannd full movie	Mixed feelings
@SIDDARAJU D vhhhk	unknown state
Super Jai D Boss	not-Kannada
Nama Kannada channel Dinesh ss qthjjko	Positive
NIV helthiro Hela Mathu 100% sathya Anna	Positive
Haaa nivu super bro i am big fan your voice  ....	Positive
Super video broo	not-Kannada
triler tunukeno sakkattagide       olkedagli chitra tandkke	Positive
rakshit shetti namm kannada  industry na belvanige madalikke band innobb rajakumar annavru ondu like matte eshtondu janaru kannadadalli cament madidvarigu handsap jai karnataka mate	Positive
Chikki chikki chikkappa nidde indda bega helappa pade pade kelbeku tumbha tumbha tacing padgalu adu sang agiddre innu kushipadtide I love jental man movi	Positive
Darshan Sir swalpa sahaya madidare	Positive
Huchha venkat sene innu jeevantha ide...bhaya padbeda sir	Negative
Howduu actually eee video nodakku munche Indaanu  nange ide reethi tumbaa saari hagu pade pade yeshto baari kansu beeltittu heege obbaa vyakti Shiva devastana hatra irtane naanu devastaaana dinda aache baruvaga nanna hatra idid bilpatre na keltane but duddu maatra eeskolala but hieght agirtare tanned skin tone forehead poorthi gaaya agirutte but full body ashtaag kansalli gottagallaa but ivatt eee video nodid mele mostly avre irbeku antha anstu	Positive
@chetan kumarab guru ve.... aha comment maddhavn hesru nodo....nanalla kano	Mixed feelings
Pls yestto jana nodlila film ...innome reles maadi ....naan antu bigg fan of dia	Positive
Nice comment bro!!!	Positive
Super sangs super movie	not-Kannada
Bahu bhai hindusthan jai	not-Kannada
Dia movie 2012 nalli banda andala rakshasi movie story copy edu	Negative
Jai Kirk Star	Positive
Telugu lo super	unknown state
Super pajjuu I am d Boss	Positive
Tik Tok Banned Jolly Jolly  Jai Hind Jai Karnataka	not-Kannada
China apps yallu remove madbeku sir  Nev innu strongag warning kodbeku sir	Positive
le gubad..... likes inda aden sigutto nimgella..... olle bhikshukara thara like maadi like maadi andkondu.....	Negative
KICHCHA BOSS FANS	Mixed feelings
Super sir Song	not-Kannada
@prithvi nayak jai Roberrt	unknown state
Waiting for hindi nLike .......	Negative
Ede tym ge wait madta edhvi antu intu ban age bidtu	Positive
@Dayananda C lol antarjati vivaha adre caste fear iralla. Nanu a caste e caste anta vote hakkala yalla mixed hagirtare. Sariyadavrge vote haktare.  Jailge hogibandavrge hakkala	Negative
I can't see Hindi?	not-Kannada
En super helidya bro innu eno beku	Positive
kanchin kanthadalli moodi band togarithipp hale nenpu taaja maditu	Positive
Song super annuru hands up madi	Positive
D.boss fans kade doddadagi wel come madtivi sir	Positive
Ee music director d Boss Robert movige irli enuvru like mdidri	unknown state
Super  song I like it so much	Positive
Fan war bittu dhayvittu ee movie ge support madrappa nam kannada movie Hollywood level ge barli.	Positive
nijavad star andre nivu	Positive
super duper hit	not-Kannada
Yaav movie flop andri?	Mixed feelings
Super Anna sakathagi ugdidira	Positive
baari aiti baari andra baari baarichananahut andra anahut aiticken🤠🤠🥳	Positive
Kannada.....🤦matte remake film.	Negative
adbutvad sangeet ...	Positive
Super sir	not-Kannada
PrAveen psk jyy6	not-Kannada
Super nakka nakka saakayatu	Positive
@Ŕävîñđŕå_02_GøWđřú super bro	not-Kannada
Nin dialog super guru chindi guru	Positive
Dislike madiroru mostly Rashmika Mandanna fans anisuthe.........	Negative
Y boss yaro sade	Negative
bindu dav onty matte avar sangadigar uru bosudy / yaru anth pruv madta idale 🤣🤣 tik tock madlill andre evalge sandus barutto ilgoo i chinali ge🤣🤣	Negative
E song ero range ge 3to.5 millone agbekittu	Positive
Awesome  estu sari kellidru innod sari kellonna anstide. Addictive music nStory looks like Rango.	Positive
Super vice kanree nimdu	Positive
tumba olle kathe	Positive
Kalaburgi and Bidar jille janaru like maadi	Mixed feelings
tandege takk mag..	Positive
Hope this movie will rule Indian cinema... avane shriman naarayan innu halvu bhagagalagi kannada chitrarangadalli avataragainnu taluvudralli sanshayve ill.	Positive
Nin  video delete agolla bidu bro ninge nav support madtivi innu e tara videos na mattastu madu chaina bucket galige tale kediskobeda	Positive
Superb trailer ....	Positive
Super jai kanadiga	Positive
Tq from karnataka kiccha sudeep fans 🥰🥰🥰🥰🥰🤙🤩🤩	Positive
tumba hoss hagu rachnatmak hadu.	Positive
Veerappan ennu badkavna elva edra bagge ondu video madi sir. 🤔	Mixed feelings
Super guru	Positive
2020 Blockbuster hit movie. Jai Karnataka	Positive
I am from Andhra Pradesh	not-Kannada
Super comment guru	Positive
nijavad pan indian chalanchitra i diya. atyadbhut chitra  guru	Positive
i film yav llewellige Super Hit agabeku andre rashmika mandann mutti nodicolluv hage	Negative
@prkash g bandre helthini guru ninge	Negative
@Ajaya shetty no no pailwan 2000 days in mars	not-Kannada
Superb bro uninstalled all Chinese apps all plzzzz	not-Kannada
super super boss	Positive
Kapi baddathade super	unknown state
Kannada indusrty ivag ivaga improve agtaide annovru like madi..	Positive
@Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba	Mixed feelings
aa music alli eno kick ide	Positive
Kadu odiyuva majane bere inserted people get a answer	Positive
Super sir true..	not-Kannada
nammadesh da kate ishte kanopp	Negative
Abbbbaa super tik tok ban ayithu	Positive
@Manju Iliger ..ķ   n2<90nLķìïhas qqàrt78.   'Ml07þ52	unknown state
nann manege bandidd full party madidwi idannu update madi brother	unknown state
🤠Narayana swag 🤟ge yaaru fida aadri like maadi	Positive
Roposo engo aramag ittu ega ivr ela roposo ge bandu roposo nu hal madta idare anna	Negative
nanageno rakshit shetti shankarnag sar taraane kanisuttare 🤩	Positive
Bro aa game  name  heli	Mixed feelings
Bari ait re	unknown state
Salute you sir. I met once you. I am happy	not-Kannada
Sir super keep it up	not-Kannada
Kannada padagala jodane adhbhutha	Positive
Fans wars bittu Nam Kannada films belibeku annoru like madi..	unknown state
Yar bekadru PM agakke agolla	Mixed feelings
Super song bro	not-Kannada
Anna super Anna	Positive
@Nandi Parthasarathi 108tago delveri aago time bandre i no ge cl madu	Mixed feelings
Dislikers r fucking da baas fans	Negative
@Nandi Parthasarathi dgar sule nin tullage bacardy bear turka	Positive
Super bro	not-Kannada
Movie Nodi Hands up....  Madi 🤗	Positive
Ivrella nijvaglu nam Indian anta ansutte anna yappa istu himse kodtidru tiktok antidaralla yappa nijvaglu ivnella nijvaglu aaisbeku	Negative
I'm full happy bro 🤣🤣 Super Guru  l m full happy bro	not-Kannada
eradne bag aplod madi	Positive
I love soga	not-Kannada
Pora rai koodi tulla	not-Kannada
Nam janane istu ond olle fresh song ge support madalla Bari same old tamte song iddiddre 10 million s madiroru	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
very nice very very super	Positive
Jai Hind  jai Karnatakan               AndnSuper song bro	Positive
Amazing  song gudluk to alla team ..super vp sir	Positive
Yes sang ok sang	Negative
@Ŕävîñđŕå_02_GøWđřú bro first avnge BOSS spelling kaliyol heli odok asayya agutte	Negative
Gulama movie tarah ondd movie maadu nin hesrru maate kellsutte	Negative
huchch venkat sene mandya	Negative
Beautiful song	Positive
Rakshit  shetty sir super. .	Positive
Don't Post FAKE videos	not-Kannada
Guru super	Positive
Bro I like ur speech	not-Kannada
Super song guru	Positive
Cinema super aagide	Positive
Super bro	not-Kannada
Those 1.2k dislikes are jealous kongas for sure🤣	Negative
Helide guru ninu	Positive
#KGFCHAPTER2  #KGF2	unknown state
Super bgm masth ....	not-Kannada
Super my favorite song	Positive
yella OK iee aroygyake hankaraka bidi yake	Negative
I'm sensing Rango like story	not-Kannada
Abbabba.... Super movie	Positive
Really amazing song.....	not-Kannada
7 jana chiranjeevigalalli avanu obba.	Positive
Yake Rajkumar families help madilla evrge	Mixed feelings
Hindi DE re baba	not-Kannada
keli qadiruv bha0davarethanbhuvielli avan aritvarenarill bidi munnudirniddaradondu danta kathe..nnAku dikkinelu bekavanunbanduku hidid manavanuentale melide kirit..nwIra hath..nguri benntto netarnu!nngAlYi matin bazarunsuddi saride sumaruienpatrad parichay iroruna bandookige ide ghan hesaruvannhands ap..naxu anavrat!nhyAMds ap..nnA agyat!nhyAMds ap..nixeV vedant..!nnixu charitre srushtiso avataar..nnraMgerixeV maya jalathnanubhavisu o prekshakane!nxqRti nannobban melidithantappadu nij manaranjane!nnanna gelbodu annutannindanu orv rakshas!nwappalla adru aduvethanoohegu mirid saahas!nanisuwweV..nbaMxa hagide rachisalu hosade shasan!nmeVrayali gagandali nimmade lanchan..nyuXXa madebeku	Mixed feelings
Views tumba kadime ide.	Negative
rangitarangad itihaash marukalisuvantide!	Positive
Telugu lyrics super	not-Kannada
cinema vritti nambi barbedi	Mixed feelings
@vinay shivamogga **uter	unknown state
Nimma mahithi 100% sathya yavaga etharahada rajakaranigalinda deshakke mukthi sigatho aa devarigu kuda gothilla adare next generation avaru sadane madabahudu	Positive
Rakshit . Rishab	unknown state
Edhu  charitreh  surishti suva  awatra.....excellent	Positive
Prajju Boss is Back	not-Kannada
prajval devraj avaru clas gint mass souper annoru like madi	Positive
@Thippesh S sikkilla bro	unknown state
superrr movie	not-Kannada
i katheya moolak sansar madoke tumba chennagide. sanskar bail mookhya ri	Positive
@Kartik GONEPPANAVAR Kartik GONEPPANAVAR fttc	unknown state
Yavdu nodtidira adar bagge aste Madi adu bittu avara fan ivara fan ninda all the best anta bogalbedi	Negative
yako tulle tullalli kadita idiya bozimagane... bandre tullare haktini.... nimm avwun tullige	Negative
Nice d bass abhimaani	Positive
Super d boss fans like	Positive
@Thilak Kumar  e ondu mathu    saku bro    Kannada   industry ge support	Positive
Bro game name plss	not-Kannada
@Shwetha Gowda hi goodmorning	not-Kannada
Nice message bro	Positive
Superb song	Positive
Curiousity thumba jaasthi aagthide bega release maddri	Positive
Ega ha ashvathama ellidhane	unknown state
rakshit shetti.....navane shri mannarayan...	Positive
mast ide i hadu	Positive
i hadu kellu tumb chennagide	Positive
@Shivananda Kanni rrerworror	not-Kannada
Nange bahala novaytu nannamele yakandre nanu  Diyaa moviena thetoralli nodilla adakke please realise onse again nanu nodtin Mathe janru nodtare please	Negative
Kannada da History  avane srimannarayana	Positive
@Anil A Sir Making	unknown state
Guru same feeling...	Positive
bail channagide ollay sahitya ollay sangeeta kellu tumbane maja barutte. shatdinotsav aachrasali i chitra.	Positive
Siri song bro	Mixed feelings
@Nandi Parthasarathi le ninu ollkavlu aadre side ge iru.... adu bittu tika ella matadoke bandre... gottala	Negative
chitrarangad dhanikaru elliddir. nalku jan seridare sakun	Positive
@Reginald Kelly le tukali ninn sanskriti torisutte ninn eshtu kachad anth	Negative
Hindi nahi hai kya	not-Kannada
keli qadiruv bandhavarehanbhuvielli avan aritvarenarill bidi	Positive
Dboss murkha abhimani galu	Negative
bitt  sthal tumbi __ shat	Negative
shekad 100(%) rashtu viruses na China utpann madutte.....	Negative
mobilalli ashtond olle claritili bittiddare. elru downlod madcond nodtidare. theatrige jan barde iralu karan mobilalli lik agirodu.	Negative
@Ŕävîñđŕå_02_GøWđřú en nindu mukulya	Negative
adbhutawagide chitra diya	Positive
No words! Awww	not-Kannada
Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide	Positive
Kateya kone channagilla	Negative
Marketing sariyaagi maadrappa istondu olle movie ge ingadre henge very imp marketing	Mixed feelings
@TROLL MONSTER_KANNADA nNimma maneli iruva ladies yalrogu nane galuj madiddu.... nInnu ninu yavanige huttidyo papa🤦🤦	Negative
togar I tippana super	Positive
Thriller Movie Andre ee Tara Irbeku	Positive
@Vinay Vn kannadalli helu bro gothagalla english  idu remake a?	Negative
very nice story	not-Kannada
shambhu baligar superr	Positive
Avnu bandiddre avana video akki	unknown state
Awesome song	Positive
innu keval 1000 mechchugegalu(like)  bekide.. ati hechu mechchugegalu(like)  paded kannada chalanchitrad drusya geete (video hadu) aagalu nyUtyUb nalli..  nxinAMka	Positive
Esta adre mele like button ede kodtare bidapa	Negative
I love it	not-Kannada
Jaa Dhinchak Pooja ki songs dekh Bollywoodiya	Negative
eshte agli chamayya meshtra mag alva...	Mixed feelings
Re realise maadenName change maade	Positive
Nev super sir	Positive
Pwoli saanam my#$...	unknown state
superrŕrrrrr  super vice sir	not-Kannada
Yen sakkathagi helidri guru	Positive
jeevandalli shraddhe mukhya.....  shraddhe    nammannu yashassin benn hattuttisuttade.....	Positive
namm deshdalli enne ge. impartent kodtare..	Negative
Im fanof rakshit shetty	Mixed feelings
Yenu!¿ Taayganda na neenu? !!	Mixed feelings
Every day i am listening	Positive
Super guru shivumagod@gmail.com	unknown state
@Kumara Kantirava sari bidi navella kannadigare	Mixed feelings
Jai d boss	unknown state
Nijwaglu idare antha nambake agta illaaa	Mixed feelings
S ur ryt	unknown state
Super movie guru	Positive
kiran kumar  account number loude ke bal pakad	Negative
Super guru est chennagi arta madisidira	Positive
D Boss abimanigala kadeyinda avne srimannarayana chitrakke all the best	Positive
U-turn is telugu or tamil movie na..?	unknown state
power star puneet rajkumar abhimanigarind all tha best	Positive
achyutann carector yaarigell isht aayitu........	Positive
Pratvi yen acting guru nimdu	Positive
Sahitya and sangita eradu super movie blockbuster	Mixed feelings
ke ji ep nantar mattundu kannadad  hemme	Positive
nijawagiu nimm maatu spoorthi ..nimage odaleyadu aagali...	Positive
Super heart touching movies. Wonderful beautiful film. i chalanchitravannu hege varnisbeku anth gottagtill. padgale siguttill. naavu antu n Waiting dia  chapter 2.	Positive
No.. 1 sec saku summe mnt ella waste madtara	Negative
Yavado yavado hakithira realu videos madi haki elwa edana neja agedre proove madi News Ali haki	Negative
Supr bro aadhh yen kannadaa aaadhh yen punch waaaaa supr bro	Positive
Lyrics Artha adoru Kay kaal aadsrappa	Positive
+RUDRAGOUDA MARIGOUDRA super	not-Kannada
Devru guru neenu nSuper kannada da carry minati	Positive
Those 850 dislikes are Frome rashmika mandanna fans	Negative
Aa hudgi bandaga iro music nice	Positive
Togari tippa all time favorite evergreen	Positive
@funny videos  okay anna naale hogtini 🤣🤣🤣	Positive
30 M 🤐🤐	Mixed feelings
nimm i mahitige dhanyavad sar.. naavu samanya jan jast video nodkondu indiya bagge yochane madidru adu upayog aagall i mahiti kelvondu vargad janarige manamuttuvante agbeku aag enadru chenj agabahudeno gottill..	Positive
Sir ondu mathu nange thumba esta aithu hoogalike hootte tumbisall dudime hootte tumbisatte nij sar	Positive
'idu charitre sristisuv cinema'' endu nambuvavaru like madi	Positive
R.N. Laxmi Mahadev Anna.    Thamma.  Janpada.    Super	Positive
kannada hadu vav ayn sakkattagi jai karnataka mate	Positive
good movie. re realse sir.	Positive
idu charitre srushtiso commentu..	Positive
Love u bro	not-Kannada
I like u	unknown state
bod shira abhimangalu illi like madi	Positive
@king k ....ella rajakaranigalu kaleere.... iddudralli bijepi yavaru kadime kaleeru....	Negative
ugi kall nan makluge	Negative
Guru namaskara ennu chennagi tale dhengu.sonu Gowda bin*** Gowda evarge ennu tale li brain Ella anusutte	Positive
boss osm	Positive
Hats up karnataka	not-Kannada
souper rakshit shetti sar	Positive
Loo baccha koura holle avaru	Negative
Super guru Ella record break made madtira guru nivu i love sir	Positive
Super duper..Film    Bust of luck... Prajval Devaraja..... Darling..   Days..	Positive
Is it similar to swag se Salman song.. ??	not-Kannada
namm bass vishnuvardhan avarige ondu din parasthti bandittu avar chitragal sattwagi solunnu kandvu maneyalli helidarante nanage draiving bartte naanu draiving bartte draivinragi seruttene andru	unknown state
supper bro 100%	not-Kannada
Suuuuper D BOSS	not-Kannada
Movie rerelease madi plss	Positive
Love from karnataka	Positive
Nam guru songs always different	Positive
What a song yah	Positive
Bro super bro amazing speech	not-Kannada
Super bro yalka  Tik Tok stars full rost	Positive
What a BGM yar......	not-Kannada
Tamil Vishal dubbing	Negative
sakath dance performance	Positive
Rocking star Yash fans like here	unknown state
Karab guru nenu nNkn eddu masthu🤗	Mixed feelings
tumba olleya mahiti nididdiri sar dhanyavadgalu nimage	Positive
Super Rakshith shetty sir	not-Kannada
200 ne like nande	unknown state
Hlo bro... Even I uninstalled at stupid app...	not-Kannada
tumba chennagide sar	Positive
@Kumara Kantirava sari nodu	unknown state
souper togari tipp ....	Positive
Hindi.  ?	unknown state
Appu boss prajwal sir	not-Kannada
namm darshan sar pres mitalli hehidaru inth cinemagainnu nodebeku anth kandi vagiu cinema nodutteve darshan ann	Positive
His gun is like a flair gun	unknown state
Look like a shankarnag	Mixed feelings
avanige kannada bhashe baruthitt?	Positive
prekshakaralli  tale iruvavaru hagu tale illadavarannu parikshe madlu avagavag avanu bartane !! yaaru avanu ?	Negative
Hai guru you tube nalli hest hesto video nodidde adre Nim thara yaru rost madilla.supero super ede thara video madtha eri..	Positive
