text	category	text_trans
കാണാതെ പോയ മൂക്കുത്തി വേറെ ആണ് . ഇപ്പൊ ഇട്ടിരിക്കുന്നത് സ്പെയർ മൂക്കുത്തി ആണ് .	unknown_state	kanate poe mukkutti vere aan . ippo itiriunnat speyർ mukkutti aan .
Ee onam lalettanum pellerum ang edukkuvaaa	Positive	Ee onam lalettanum pellerum ang edukkuvaaa
Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...	unknown_state	Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...
After Mohanlals ആര്യൻ its Nivins മൂത്തോൻ  ബോംബെ  അധോലോകം	unknown_state	After Mohanlals aryaൻ its Nivins muttoൻ  bombe  adholoke
Lalletan fans like adikku . Fans power kaaniku	unknown_state	Lalletan fans like adikku . Fans power kaaniku
പരുന്തിന്റെയും പുത്തൻ പണത്തിന്റെയും അവസ്ഥ വരരുത് പടച്ചോനെ .	Mixed_feelings	paruntinteyu puttൻ panatinteyu avasth vararut patachone .
Padam pottum Ram fans munji.. sudapi teams  kuru pottum	Negative	Padam pottum Ram fans munji.. sudapi teams  kuru pottum
Nice song alle ithine njan paadi kulaakitundu aarkengilum kekanumingil	unknown_state	Nice song alle ithine njan paadi kulaakitundu aarkengilum kekanumingil
Ivide kidannu thulland aa timil roomil onnude poy nokk penne	Negative	Ivide kidannu thulland aa timil roomil onnude poy nokk penne
NIVIN #FIELDOUT AYI ENN PARANJAVARK ULLA KIDILAN #REPLY  #FIELDOUT AYAD ALLA.  ORIKKALUM AVAND NIKKANULLA #MARUNN VANGAN POYADHA  #VERUM_MASALLA #MARANA_MASS #MOOTHON	Positive	NIVIN #FIELDOUT AYI ENN PARANJAVARK ULLA KIDILAN #REPLY  #FIELDOUT AYAD ALLA.  ORIKKALUM AVAND NIKKANULLA #MARUNN VANGAN POYADHA  #VERUM_MASALLA #MARANA_MASS #MOOTHON
ഫഹദിന്റെ പടം ആയതോണ്ടാവും പിള്ളേർ അടക്കം നാച്ചുറൽ... പൊളിച്ചു	Positive	fahadinte pat ayatondau pilleർ atakum naturaൽ... polichu
Eth mikkavarum putham panam Enna movie yepoleyakum thonnunnavar like	unknown_state	Eth mikkavarum putham panam Enna movie yepoleyakum thonnunnavar like
മൂക്കുത്തി കണ്ടില്ല എന്ന് പറഞ്ഞു ആ ചുവപ്പ് തൊപ്പികരനെ വളച്ചു മൂക്കുത്തി വാങ്ങിക്കാൻ ഉള്ള സൈക്കോ അടവ്	unknown_state	mukkutti condill enne parannu aa chuvap toppikarane vaichchu mukkutti vandikaൻ ull cycko ate
saikko shammy fans evide likam	unknown_state	saikko shammy fans evide likam
മലയാളം സിനിമ ഇതേത് ലെവലിലേക്കാ പോകുന്നത് .   എജ്ജാതി ഐറ്റംസ്   Hats off geethu	Positive	malyalam sinim itet levlilka pokunnat .   ejjati itins   Hats off geethu
Guys unlike cheyyunavar Mr.Pandit fans aanue..deshyam pidichit karyamilla..	Negative	Guys unlike cheyyunavar Mr.Pandit fans aanue..deshyam pidichit karyamilla..
ഫഹദിന്റെ ഭാര്യായിറ്റ് അഭിനയിച്ച ചേച്ചി  ഔട്‍സ്റ്റാന്ഡിങ് ആക്ടിങ്	Positive	fahadinte bharyait abhinaich chechchi  autstanding acting
ഏട്ടന്റെ പിള്ളേർ like ബട്ടൺ അടിച്ചു പൊളിക്ക്	unknown_state	etinte pilleർ like buttൺ atichu polic
Mammookkayude sound oru rekshayum illa pwolii	Positive	Mammookkayude sound oru rekshayum illa pwolii
പാട്ട് വളരെ മോശം. സിനിമയും അങ്ങനെ ആകാതെ ഇരുന്നാൽ മതി ആയിരുന്നു	Mixed_feelings	pat valare mosham. sinimayu angne aakate irunnaൽ mati irunnu
രഞ്ജിത്തേട്ടൻ പൊന്നാനിയുടെ സ്വകാര്യ അഹങ്കാരം  ഞങ്ങളുടെ മുത്ത് രെഞ്ജിത്തേട്ടൻ	Positive	ranjittetൻ ponnaniute swakarya ahankar  chhangute mut renjittetൻ
hooo koritharipp romaanjam ulpullakam entammo adaar trailer	Positive	hooo koritharipp romaanjam ulpullakam entammo adaar trailer
Jayettante punyalanu sesham trissur slangilulla hitakum ethu	Positive	Jayettante punyalanu sesham trissur slangilulla hitakum ethu
Like from Madurai (Tamil nadu) ....	not-malayalam	Like from Madurai (Tamil nadu) ....
SHAMMY HERO AHH DA HERO	unknown_state	SHAMMY HERO AHH DA HERO
next  cheriyoon  kulki enduvade id	unknown_state	next  cheriyoon  kulki enduvade id
പുതിയ കമൻറുകൾ വന്നിട്ടുണ്ടോ എന്ന് ഇടക്കിടക്ക് വന്നു ചെക്ക് ചെയ്യുന്നത് ഞാൻ മാത്രമാണോ	unknown_state	putia kamൻrukൾ vannitndo enne itakkitek vannu check cheiyunnat naൻ matramano
1:49 തൊട്ടുള്ള ബിജിഎം പൊളിച്ചു...waiting for Driving License. #prithvirajsukumaran#surajvenjaramoodu#laljr	Positive	1:49 totull bijie polichu...waiting for Driving License. #prithvirajsukumaran#surajvenjaramoodu#laljr
Padam polikum	Positive	Padam polikum
അപ്പോൾ എന്റെ ചോദ്യം ഇതാണ്  ഇതിൽ ആരാണ് നായകൻ, ആരാണ് വില്ലൻ?	unknown_state	apoൾ ente chodyam itan  itiൽ aran nayakൻ, aran villൻ?
Like kuddunnu onnd pakshe views kuddethe enthaa	unknown_state	Like kuddunnu onnd pakshe views kuddethe enthaa
ഉയിരിൽ തൊടും തളിർ\r വിരലാവണേ നീ.\r അരികേ നടക്കണേ. അലയും\r ചുടുകാറ്റിനു കൂട്ടിണയായ്\r നാമൊരു നാൾ കിനാക്കുടിലിൽ\r ചെന്നണയുമിരുനിലാവലയായ്.\r ആരും. കാണാ… ഹൃദയതാരമതിൽ\r ഉരുകി നാമന്നാരും. കേൾക്കാ… പ്രണയാജാലകഥ\r പലവുരു പറയുമോ…\r ഉയിരിൽ തൊടും കുളിർ\r വിരലായിടാം ഞാൻ.\r അരികേ നടന്നിടാം. അലയും\r ചുടുകാറ്റിനു കൂട്ടിണയായ്\r നാമൊരു നാൾ കിനാക്കുടിലിൽ\r ചെന്നണയുമിരുനിലാവലയായ്.\r ആരും. കാണാ… ഹൃദയതാരമതിൽ\r ഉരുകി നാമന്നാരും. കേൾക്കാ… പ്രണയാജാലകഥ\r പലവുരു പറയുമോ…\r വഴിയോരങ്ങൾ തോറും\r തണലായീ പടർച്ചില്ല നീ…\r കുടയായ് നിവർന്നൂ നീ\r നോവാറാതെ തോരാതെ പെയ്കേ.\r തുഴയോളങ്ങൾ പോൽ നിൻ\r കടവത്തോന്നു ഞാൻ തൊട്ടു മെല്ലെ\r കാറ്റേ ചില്ലയിതിൽ വീശണേ\r കാറേ ഇലയിതിൽ പെയ്യണേ\r മെല്ലെ തീരമിതിലോളങ്ങളോളങ്ങളായി നീ വരൂ…\r ഉയിരിൽ തലോടിടും\r ഉയിരായിടും നാം.\r നാമൊരു നാൾ കിനാക്കടലിൽ\r ചെന്നണയുമിരുനിലാനദിയായ്.\r ആരും. കാണാ… ഹൃദയതാരമതിൽ\r ഉരുകി നാമന്നാരും. കേൾക്കാ… പ്രണയാജാലകഥ\r പലവുരു തുടരുമോ…   hit LIKE	unknown_state	uiriൽ totu taliർ\r viralavane ni.\r arike natkane. alayu\r chutukatinu kutia\r namoru naൾ kinakutiliൽ\r chennavyumirunilavalya.\r aaru. kana… hridyataramatiൽ\r uruki namannaru. keൾkka… pranayajalkath\r palavuru parayumo…\r uiriൽ totu kuliർ\r viralitam naൻ.\r arike natannitam. alayu\r chutukatinu kutia\r namoru naൾ kinakutiliൽ\r chennavyumirunilavalya.\r aaru. kana… hridyataramatiൽ\r uruki namannaru. keൾkka… pranayajalkath\r palavuru parayumo…\r waiorasൾ toru\r tanalayi patർchchill ni…\r kuta nivർnnu ni\r novarae torate paike.\r tubyolangyൾ poൽ niൻ\r katvatonnu naൻ tottu melle\r karte chillayitiൽ vishane\r kare ilayitiൽ paiyane\r melle tirmitilocaslolanslai ni varu…\r uiriൽ taloti\r uiri nam.\r namoru naൾ kinakkataliൽ\r chennavyumirunilandia.\r aaru. kana… hridyataramatiൽ\r uruki namannaru. keൾkka… pranayajalkath\r palavuru tutrumo…   hit LIKE
Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!	unknown_state	Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!
കമെന്റ്സ് കണ്ടിട്ട് പ്രിയദർശൻ മമ്മൂക്ക യെ വച്ച് കുഞ്ഞാലി മരക്കാർ സിനിമ എടുത്താൽ മതിയായിരുന്നു എന്ന് തോന്നുന്നു	Negative	coments contit priyadർshൻ mummuk ye vach kunjali marakkaർ sinim aduttaൽ matiairunnu enne tonnunnu
തൃശ്ശൂർകാരൊന്നും ഇല്ലെടാ ഇവിടെ  അടിച്ചു പൊട്ടിക്കേടാ ലൈക്‌ ബട്ടൺ	unknown_state	trushshuർkaronnu illeta ivite  atichu potieta lik buttൺ
ചുമ്മാതല്ല Anurag Kashyap മച്ചാൻ കാശ് ഇറക്കിയത്. ഇത് മലയാളത്തിലെ Gangs of Wasseypur ആകും.. Sure..	Positive	chummatall Anurag Kashyap macchaൻ kash iokkiyat. it malyalattile Gangs of Wasseypur aaku.. Sure..
ട്രെയ്‌ലർ പൊളിച്ചു.... ഇനി പടം കൂടി പൊളിച്ചാൽ നന്നായി..... ഉള്ളി പൊളിച്ചപോലെയാവാണ്ടിരുന്നാൽ മതിയായിരുന്നു.....	Positive	tralർ polichu.... ini pat kuti policchaൽ nannai..... ulli polichapoleyavandirunnaൽ matiairunnu.....
ഈ വൃത്തികെട്ടവൻ തന്നെയാണോ ബിഗ്‌ബിയിൽ bgm ചെയ്തത് ...അവിശ്വസനീയം ....എന്ത് വെറുപ്പിക്കലാണ് ....വേറെ നല്ല ആൺപിള്ളേർക്കു കൊടുത്തിരുന്നേൽ പടം കസറിയെനേം...@ഗോപി....എന്റെ പൊന്നണ്ണാ ..നമിച്ചു ...	Negative	i vruttikettavൻ tannaano bigbiiൽ bgm cheitat ...avishvasaniyam ....ent verupicala ....vere nall aaൺpilleർkku kotuttirunneൽ pat kasarienea...@gopy....ente ponnanna ..namithchu ...
ആ PSYCHO ചിരിക്ക് കൊടുക്ക് ഒരു	unknown_state	aa PSYCHO chiri koduk oru
Shung shing sung onamshang vashang (appo onathinu kanam enn)..🤗🤗	unknown_state	Shung shing sung onamshang vashang (appo onathinu kanam enn)..🤗🤗
ഇതാണോ നിന്റെ പുകയില്ലാത്ത അടുപ്പു, ദേ ഞാൻ അങ്ങോട്ട്‌ നോക്കി നിക്കാം, നീ എന്നെ ഒന്ന് ചേട്ടാ എന്ന് വിളിക്കു, എന്തൊരു പ്രഹസനം ആണെടോ, ഈ പഞ്ചായത്തിൽ ഏറ്റവും മോശം വീടിതാണ്,,,യേശു നമ്മക്കറിയാത്ത ആളൊന്നും അല്ലാലോ,	unknown_state	itano ninte pukaillat atuppu, de naൻ angot nokki nikkam, ni enne one chetta enne vili, entoru prahasana aneto, i punchayattiൽ et mosham vidita,,,yeshu nammakkariatt alonnu allaalo,
Irakikko pakshe Stephen achayan ullidatholam kaalam ivide oru rajanum adhikam vazhan ponilla	Negative	Irakikko pakshe Stephen achayan ullidatholam kaalam ivide oru rajanum adhikam vazhan ponilla
Trailer il thanne full story undallo! Padam kidilan aakatte🤓	unknown_state	Trailer il thanne full story undallo! Padam kidilan aakatte🤓
Tollywood - Bahubali  Kollywood - 2.O Sandalwood - KGF  Mollywood - Mamangam	not-malayalam	Tollywood - Bahubali  Kollywood - 2.O Sandalwood - KGF  Mollywood - Mamangam
കൂട്ടുകാരെ എന്റെ ചാനൽ ഒന്ന് സബ്സ്ക്രൈബ് ചെയ്യോ. ഞാൻ തിരിച്ചും ചെയ്യാം.	unknown_state	kutukare ente chanൽ one sabscrib cheyyo. naൻ tirichu cheyya.
ഇതിലും നല്ലത് മരക്കാരനെ  പൊട്ടനാകിയാൽ  പോരെ	Negative	itil nallat marakkarane  potinakiyaൽ  pore
HISTORY OF POWER HISTORY OF VENGEANCE HISTORY OF PAIN HISTORY OF HOPE HISTORY OF AN ERA HISTORY OF THE BRAVE	not-malayalam	HISTORY OF POWER HISTORY OF VENGEANCE HISTORY OF PAIN HISTORY OF HOPE HISTORY OF AN ERA HISTORY OF THE BRAVE
Ravi ye kaanumbo SHAMMI ye orma varunnu.	Mixed_feelings	Ravi ye kaanumbo SHAMMI ye orma varunnu.
All the best ikka from #lalettan fans 🤗	not-malayalam	All the best ikka from #lalettan fans 🤗
ente ponnu....endb item aaan...he he ....ikkka...romanjjjjjjj	Positive	ente ponnu....endb item aaan...he he ....ikkka...romanjjjjjjj
Filminode undayirunnu ella pradikhayum  poyi.oru historikal film akumpol  song visuals  super ayirikkanam.manasil thangi nilkkanam	Negative	Filminode undayirunnu ella pradikhayum  poyi.oru historikal film akumpol  song visuals  super ayirikkanam.manasil thangi nilkkanam
എന്റെ കൊച്ചു ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യൂ	unknown_state	ente kochu chanൽ sabscrib cheyyu
ഇക്കയുടെ സ്ത്രീവേഷം കണ്ടു കമ്പി അയവർക്കും പാല് പോയവർക്കും. ലൈക്കി നിർവൃതി അടയാൻ ...	Negative	ikute strivesha kantu kampi anovർku pal poevർku. liki niർvruti atayaൻ ...
Unnni mukundante padamenn paranj arenkilum vanno makkale	unknown_state	Unnni mukundante padamenn paranj arenkilum vanno makkale
nyc but best actor poley aayaaal seriyaavilla	Mixed_feelings	nyc but best actor poley aayaaal seriyaavilla
1.7M VIEWS 177K LIKES  TRIPLE STRONGG	not-malayalam	1.7M VIEWS 177K LIKES  TRIPLE STRONGG
2020-ലെ ആദ്യ ബോംബ് ന്റെ കാര്യത്തിൽ തീരുമാനമായി	Negative	2020-le aadya bomb nte karyattiൽ thirumanmai
മമ്മൂക്ക ഫാൻസിന്റെ എല്ലാം വിധ വിജയ ആശംസകൾ നേർന്നു	Positive	mummuk phaൻsinte ellam vidh vijay ashansakൾ neർnnu
മാസ്സ് കൊടൂര മാസ്സ് അതാണ് കൊള്ള പലിശ കാരനായ ബോസ് അസുരൻ	Positive	mass kotur mass atan koll palish karnay bose asuraൻ
മമ്മൂക്ക ഫാൻ ആയ ഞാൻ പോലും ലൈക്ക് അടിച്ചു	Positive	mummuk phaൻ ay naൻ polu lic atichu
Mammunniyepole oliporallithu Eathu yudham vannalum munpilundavum laettan ....dialogue delivery pirannu...ee parayunna neeyokke pedukkum padam irangiyal	Negative	Mammunniyepole oliporallithu Eathu yudham vannalum munpilundavum laettan ....dialogue delivery pirannu...ee parayunna neeyokke pedukkum padam irangiyal
Enta joju etta ningalithe ende bhavichaa	unknown_state	Enta joju etta ningalithe ende bhavichaa
വീണ്ടും വീണ്ടും ട്രൈലെർ കാണാൻ വരുന്നവർ ഉണ്ടോ 210 ചെറ്റകൾ ഡിസ്‌ലൈക് അടിച്ചല്ലോ ദൈവമേ ഏത് ചെറ്റകൾ ആണ് pannakal	Negative	vind vind traileർ kanaൻ varunnavർ undo 210 chetnakൾ dislik atichchallo daivame et chetnakൾ aan pannakal
Ejjathi level sadhanam ishttappettavar like adik🥰	Positive	Ejjathi level sadhanam ishttappettavar like adik🥰
Maranamass trailer.....orupaad ishtamaayi.....Lalettan Prithvi combo pwolichadakkum....	Positive	Maranamass trailer.....orupaad ishtamaayi.....Lalettan Prithvi combo pwolichadakkum....
Ejjaathi item ufff kaattaa waiting	Positive	Ejjaathi item ufff kaattaa waiting
1:23 PREDATOR movie BGM copycat !!! deepak dev anna	unknown_state	1:23 PREDATOR movie BGM copycat !!! deepak dev anna
Ettan die heart fans like adi	unknown_state	Ettan die heart fans like adi
മൂന്ന് പേരെയും എനിക്ക് നല്ലിഷ്ട്ടാ, ജോജു, ചെമ്പൻ and nyla 🥰	Positive	munn perayu enic nallishtta, joju, chempൻ and nyla 🥰
Big brotherinekallum shylock Kannan agrahamullavarr like chyuuu	unknown_state	Big brotherinekallum shylock Kannan agrahamullavarr like chyuuu
Love യു കാട്ടാളൻ പൊറിഞ്ചു.  🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰	Positive	Love yu kattalൻ porinchu.  🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
പ്രിയ മോഹൻലാൽ താങ്കളുടെ ആരാധകർ ഞങ്ങളുടെ മാമാങ്കത്ത ഒരുപാട് സഹായിച്ചവർ ആണ്.അത് കൊണ്ട് താങ്കളുടെ എല്ലാ പടത്തിനും ഞങ്ങൾ ഇക്കാ ഫാൻസിൻറെ വിജയാശംസകൾ.ഞങ്ങൾ കാണും കൂടെ.കട്ട support🤗	Positive	priy mohൻlaaൽ tangute aaradhakർ chhangute maamankatta orupat sahayichchavർ aan.at kond tangute ella patattinu chhangoൾ ikka phaൻsiൻre vijayashansakൾ.chhangoൾ kaanu kute.kat support🤗
നമ്മൾ ലാലേട്ടൻ ഫാൻസ്‌ ഈ പടവും മറ്റൊരു ചന്ദ്രോത്സവം വെളിപാടിന്റെ പുസ്തകവും ആകരുത് മാസ്സ് ഇല്ല എന്ന് പറഞ്ഞു negative ഇട്ടിട്ട് ഫാമിലിയെ കൂടെ പടത്തിൽ നിന്നും അകറ്റരുത്യോജിക്കുന്നവർ like അടി അല്ലാത്തവർ അവരുടെ അഭിപ്രായം share ചെയുക	unknown_state	nammൾ laletൻ phaൻs i patvu matoru chandrotsava welipatine pustakvu aakarut mass ill enne parannu negative itite famili kute patattiൽ ninnu akatirutyojikunnavർ like ati allatavർ avarute abhiprayam share cheyuk
ഏട്ടൻ ഫാൻസ്‌ SUBSCRIBE അടിച്ചോ. ലാലേട്ടൻ PROMOTING ചാനൽ ആണ്	unknown_state	etൻ phaൻs SUBSCRIBE aticho. laletൻ PROMOTING chanൽ aan
Mammookka fans inu like adikkan ulla comment	unknown_state	Mammookka fans inu like adikkan ulla comment
Ith Pwolikkum Enn Urappullavar Like	unknown_state	Ith Pwolikkum Enn Urappullavar Like
Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre	Negative	Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre
Ettan pwoli.. Engane abinayikunnu ethra cute ayyitte	Positive	Ettan pwoli.. Engane abinayikunnu ethra cute ayyitte
E padamenghillum hit ayall madhi ayirunnu	Mixed_feelings	E padamenghillum hit ayall madhi ayirunnu
Fuck you rss terrorist  azadi azadi azdi  E modi puyrante cinima muslimgal bahisharikuga	Negative	Fuck you rss terrorist  azadi azadi azdi  E modi puyrante cinima muslimgal bahisharikuga
Villan or hero  Prthvi or suraj ???	not-malayalam	Villan or hero  Prthvi or suraj ???
Kidu trailer oru rakshem illa katta waiting	Positive	Kidu trailer oru rakshem illa katta waiting
എന്തോ ഈ ഫിലിം മനസിലോട്ട് അങ്ങ് കേറി പോയി..... എനിക്ക് മാത്രമാണോ???	Positive	ento i philim manasilot ang keri poi..... enic matramano???
Dey nthonadey refresh adikumbolathekum likes okke rand erati avunnu	unknown_state	Dey nthonadey refresh adikumbolathekum likes okke rand erati avunnu
ഇട്ടിച്ചന്റെ സാമ്പിൾ വെടിക്കെട്ട് നമ്മൾ സാക്ഷാൽ തൃശൂർപൂരം ആക്കും.....	Positive	iticnte sampyൾ weticet nammൾ saakshaൽ trushuർpuram aku.....
ഇതിൽ മൂക്കുത്തി കണ്ടവർ  LIKE അടി	unknown_state	itiൽ mukkutti kantavർ  LIKE ati
പൃഥ്വിരാജ്,  സുരാജ്...  രണ്ടു രാജാക്കന്മാരും ചേർന്ന് ഈ ക്രിസ്തുമസ്,  ന്യൂ ഇയർ സീസൺ അങ്ങ് അടക്കി ഭരിക്കുവാ......  ഡ്രൈവിങ് ലൈസൻസ് ടീമിന് വിജയാശംസകൾ....	Positive	pruthviraj,  suraj...  rantu rajakanmaru cheർnn i christums,  new iaർ seasൺ ang atakki bharikkuva......  driving lisൻs timin vijayashansakൾ....
Sathyam parayalo.. എവിടെയോ എന്തോ പ്രശ്നം പോലെ... ഒടിയൻ പടത്തിനു ശേഷമാണു ഈ പ്രശ്നം....	Mixed_feelings	Sathyam parayalo.. eviteyo ento prashna pole... odiaൻ patattinu sheshmanu i prashna....
മമ്മാട്ടി വയസ്സനായി... കണ്ടാലറിയാം... ഇനിയും ഇങ്ങനെ ഉള്ള character മമ്മൂട്ടി അഭിനയിഛാൽ പെർഫെക്ഷൻ കിട്ടില്ല എന്നാണ് എന്റെ അഭിപ്രായം...	Negative	mammati vayassnayi... kantalria... iniu ingtone ull character mummuti abhinaichhaൽ peർfekshൻ kittill enna ente abhiprayam...
The face of indiaaikkkkkkkaaaaaa luv uuuuuu	not-malayalam	The face of indiaaikkkkkkkaaaaaa luv uuuuuu
1 million ഒക്കെ കഴിഞ്ഞു 3 million ആയി	unknown_state	1 million ocke kachinju 3 million aai
പിന്നെ അവളുടെ മൂക്കിൽ കിടക്കുന്നതു എന്ത് മൈരാ...	Negative	pinne avalute muteiൽ kitakkunnatu ent maira...
ട്രെയ്ലറിൽ കാണുന്ന ഒന്നും ഫിലിം ഇല്ലലോ.. എങ്കിലും പടം കിടു	Positive	tralryൽ kanunn onnu philim illalo.. ankil pat kitu
Prethekichu onnumillankilum... Ithil entho undd kelkkaathirikkaan pattanilla supr song	Positive	Prethekichu onnumillankilum... Ithil entho undd kelkkaathirikkaan pattanilla supr song
മലയാളത്തിൽ മേയിൻ നടനും സഹനടനും ആയി അഭനിക്കുന്ന ആൾ ആണ് അയാൾ അയാൾ അഭിനിച്ചാൽ പടം   അവേറേജ് ഓ അതിൽ താഴെയോ ആയിരിക്കും സിനിമ ആ വക്തി ഈ ലാലേട്ടൻ പടത്തിൽ ഉണ്ട് ഇതിന്റെ അവസ്ഥ എന്തായിരിക്കും എന്തോ 🤫🤐 എല്ലാവരും കമന്റ് രേഖപ്പെടുത്തി പോകുക	Negative	malyalattiൽ mayiൻ natanu sahanshnu aai abhanikkunn aaൾ aan ayaൾ ayaൾ abhinicchaൽ pat   averej o atiൽ tarayo irik sinim aa vakti i laletൻ patattiൽ und itinte avasth entayirik ento 🤫🤐 ellavaru kament rekhappetutti pocook
BGM is like...  CIA bgm	unknown_state	BGM is like...  CIA bgm
തമിഴിലെ രാക്ഷസനെ വെല്ലുന്ന item ആകണേ കർത്താവെ	Positive	tamilille rakshasane vellunn item akane kർttawe
Poli ploi nte ponno romanjam	Positive	Poli ploi nte ponno romanjam
Sarkar teaser likes VS odiyan trailer views	not-malayalam	Sarkar teaser likes VS odiyan trailer views
After jimikki kammal ഇതിനാവും കൂടുതൽ viewers  50M+ ആവും എന്നുള്ളവർക്ക് ലൈക്ക് ചെയ്യാം	unknown_state	After jimikki kammal itinavu kututൽ viewers  50M+ aavu ennullavർk lic cheyya
ചാക്കോച്ചൻ ഫാൻസ്‌ ലൈക്ക് അടിച്ചു പൊളിക്ക്   Your sleepless nights are coming	unknown_state	chakkochchൻ phaൻs lic atichu polic   Your sleepless nights are coming
super dq fan kiccha sudeep fan karnataka	not-malayalam	super dq fan kiccha sudeep fan karnataka
Ippo E comments vaayikkumbalu Nalla. Sukhondu	unknown_state	Ippo E comments vaayikkumbalu Nalla. Sukhondu
Ntammo polichu..oru rakshayum illa...from lalettan fan...	Positive	Ntammo polichu..oru rakshayum illa...from lalettan fan...
ഈ തടിയനെ വെച്ചേ ആരെങ്കിലും പടം എടുക്കോ 🤣🤣🤣🤣🤣	Negative	i tadiuna wecche arenkil pat adukko 🤣🤣🤣🤣🤣
