text_clean	y
ನಜವಗಯ ಇದ ಚರತರ ಸಷಟಸ ಅವತರ ಹಯಟಸ ಆಫ ನರಯಣ	Positive
ಶರಮನನರಯಣ ಸಪರ ಸಗ ಹಯಡಸ ಉಪ	not-Kannada
ಅಲ ಬಸಟ ಫರಮ ಅಪಪ ಫಸ	Positive
ನವ ಸಪರ ಮಯರ	unknown state
ಕಡನ ಬರ ಅಡಕಕನ	Mixed feelings
ಕಷಮಸ ಸರ ನನ ಟಬ ಮಸ ಮಡಕಡ	Positive
ಟಕತಕ ಮಡ ಗಡ ಸ ಮಕಲ	Negative
ಟಗರ ತಪಪ ಸಪರ	Positive
ಓಲ ಕಲಸ ಅಲವ ಮ	Positive
ನಜ ಗರ ತಕತತ ನಮ ಇಡಸಟರ ಅಲಲ ಯರಗ ಎಲಲ	Positive
ವರಪರಸದ ಕ ಕ ಸಪರ ಬರ	not-Kannada
ಸಪರನಟಲಗ ಲ ಕಡ	Positive
ರಕಷತ ಶಟ ಸರ ಗ ಜಐ	Positive
ದಫರಟ ಬಟ ಯನಕ ಎಪಕ ಸಗ	not-Kannada
ಈವನ ಐ ಹದ ಸಮ ಫಲಗ	not-Kannada
ಫಸಟ ಟಮ ಮವ ನದರ ತಲಲ ಉಊಹ ಸಕರನಪಲ ಇಟಕದ ನಡಬದ ಫರದಮಗ ನದ ಮವ ಸಪರಗಡ ಕನನಡದ ಹಸತನ ಅದದರಯಗ ಕನತತ ಗರ ಮವ ಸಪರ	Positive
ಸಪರ ಸಗ	not-Kannada
ಗಡ ಜಬ ಗಹಡ ಮಹನ	not-Kannada
ಏನ ಸಗ ಗರವ ಐ ಲವ ಥಸ ಸಗ ಕ ಗ ಫ ಬತರ ಎಡ ಸಪರ ಮವ ಗರಸಪರ	Positive
ನಮಗ ದವರ ಒಲಡ ಮದಲ ಅಪಪಜನನಮಮ ಮಟಗಲ ಕಲ ನಗ 100 ಡರಯ ಬಟ ಅಪಪಜ ತಕ ಫರ ಯರ ಇನಸಪರಶನ	Positive
ಉ ಮಸದ ಬರಬಲ	not-Kannada
ಹದಗರಜ ಎಸತ ಹಚ ಎಡಸ ಸಗ ಎನ ಹದಗರ ಕಥ ಹಗ	Mixed feelings
ಮನಯದಲ ಸಪದಸಬಕ ವತ ಇನಕಮ ಪರಫ ವತಸಪಪ 6362806874	unknown state
ಸಪರಬ ನಯ ಅವತರ	not-Kannada
ನಜ ನವ ಮಹಬರಠ ನದಲವ	Mixed feelings
ಗವಶ ಸಗತ ćಕಕ1	not-Kannada
ಜಟಲಮನ ಟಕತಕ ಬನ ಸಪರ ಗರ	Positive
ಜಐ ಶರ ರಮ	unknown state
ಹ ಚ ಉಗ	unknown state
ನವ ಹಲದ ಸರ ನನ ಫಲ ಮದಥನ	Positive
ಸರ 5ಪಸಕಮ ಆದರ ಬಗಗ ವಡಯ ಮದ ಓಪನ ಮದಧ ಹಗ ಆಡ ಕಲಸ ಮದಧ ಹಗ ಅತ ಪಲಜ ಸರ	Positive
ಏತ ಸಗ ಡಸಲಕ ಮಡಇರಲಲ ಲಫರ ನನ ಮಕಕಲ ತ ನಮ ಜನಮಕಕ	Negative
ಪಬಗ ಕಡ ಬನ ಅಗಬಕ ಗರ	unknown state
ಮಜ ಸನ ಅಭನದನ	unknown state
ತಟ ಮಕಗ ವಸ ಓಸಮ ಆಸನ	Positive
ಹಡ ರಶಮಕ ಮಗಣಣನವರಗ ಅರಪಣ	Negative
ಸಪರ ಗರ ಅವಸಮ ವಡಯ	Positive
ನದ ಪರಥಸರಥ ಓಹ ನದನ ನದ ಮಲಕ ಪರಲರ ಬರ ಇದಯ	Negative
ಪಥವ ನಯಕ ರಬರರಟ ಬಗದ ಗಠ ಆಗತಟ	Negative
ಓನ ಲಕ ಫರ ಹಯಡಸ ಉಪ	not-Kannada
ನವ ಹಳಳಯ ಭಷಯ ಶಲಯಲಲ ರಷಟ ಮಡವದ ನಮಗ ಅತಯತತಮ ಮನರಜನ	Positive
ಏಳನ ದನ ಕಳತ ಇದದನ	Positive
ಅಶವಥಥಮ ಚರಜವ ಆಗದದ ಹಗ	Mixed feelings
ತಗರ ಅಭವದಧ ನಗಮದ ವಯವಸಥಪಕ ನರದಶಕರಗ	Positive
ಹಡ ಅಶವತಮ 5000 ವರಷ ದಡ ಕರಸತ ಶಕ 2000 ಅತ ಯಕ ಅಕತದರ ಹದ ಗಲ ಮಚ ಇಡ ಇಡನ ನವ ಇದನನ ಪರತಪದಸಬಕ ಐ	Positive
ವ ಗರಟ ವರಕ	not-Kannada
ಅರ ಭಯ ಯಕ ಡ ಫಲ ದಯ	not-Kannada
ಸಟಪ ಸಪರ ಬಸಸ	Positive
ನಮಮ ಕನನಡ ಬಳಕ ತಬ ಸಗಸಗದ ಸನಮ ಕರತ ನವ ಹಳದ ಮತಗಳಲಲವ ಅಕಷರಶ ನಜ ನರದಶಕರ ಸಜನಶಲತ ಹಗ ಕಲತಮಕತ ಎರಡ ತರಕಕಕ ನಲಕದದ	Negative
ಇದ ಬಕ ಇವತತ ಫಲ ಹಪಪ ಅಗದವ ಬರ ಓಸಮ	Positive
ನಜವಗಲ ತಬ ಒಳಳ ಫಲಮ ತಬ ಇಷಟ ಆಯತ	Positive
ಸರ ಅಬ ಸಗ ನದ ಬದವರ ಲಕ ಮದ	unknown state
ಸರ ಸಪರ ಗರಟ	not-Kannada
ಪರಯತನಕಕ ದಡಡ ಸಲ	Positive
ಸಪರ ಸಗ ಇನ ಕನನಡ	Positive
ರಜ ವಶನವರಧನ ತಮಳ ಆಫ ಸರಸ	unknown state
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಹಯಡಸ ಉಪ ಲಕ ಮದ	unknown state
ಇದ ಚತರ ಸಸತಸ ಅವತರ	Positive
ಕಚಚನ ಹವಳ ಅಸತ ಚಪಲಲ ಬಡ ನಮತರ 60ಕರ ಅಬವ ಮದಡ ಪಲವನ ಕರಕಷತರ 100ಕರ ಕಲಕಷನ ಮದಡ	Negative
ಒಕ ಒಕ ಅತ ಹಲಬಡ ಪವರಫಲ ಮಯಸಕ ಇರಬಕತತ	Negative
ಸಪರ ದಪರ ಸಗ	Positive
ಮವ ಚನಗಡ ಹಗ ನದ	Positive
ಹದ ಮ ಲಓ	unknown state
ಸಷಪರ ಪ ಬಸ ಯರ ಉನಲಕ ಮದಧರ ನದ ಉರಕದ ಸಏಟರ ಅತ	Negative
ಟಕ ಟಕ ಬನ ಅಗರದಕ ನಗ ಟಬ ಟಬ ಕಶ ಐಡ ಹಪಪ	Positive
ದಬಬ ಮವ ಸ ಸದ	Negative
ಕರಬ ಸಗ ಕಲಬಜರ ಅಗ ಸಗ ಕಲಥ ಏಧನ	Positive
ವ ಲಕ ರಕಷತ ಶಟ ಹತ ಲಕ	unknown state
ರಮಕ ಕ ಬಪ ಪರಜವಲ ಇಸ ಬಕ ವತ ರಮಕ	not-Kannada
ಹದ ಇಲಲ ಆಡರ 300 ಕರರ ಅಗಡ ಡರಮ ಆಷಟ	Positive
ನವ ಮತರ ಉಸ ಮದತಲಲ ಜಗತನನ ಯಲಲ ದಶಗಲ ಉಸ ಮದತದರಸಲಮಗನ	Negative
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಅಚಚ ಕನನಡ ಸಗ ಸಪರ	Positive
ಪರತವ ಅಬರ ಸಪರ	Positive
ಪಥವ ವಶವನಥ ಗರವ ನವ ಡಬಸ ಫಸ ಕನನಡ ಸಗ ನಡಕ ಮಡಲ ಲಕ ಮಡವರ ಸಮನ ಥಕ ಯಲಲ ಮತದಬದ	Negative
ಶರಥ ಶರಥ ಹಯ	unknown state
ಸವಲಪ ಏರಯಲ ತರ ಐಡ	unknown state
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಅಧಬತ ಬಗಮ ಸಪರ	Mixed feelings
ಶವ ಪರಕಶ ಲಜಡಸ ಕನನಡ ಫಲಮ ಇಡಸಟರ ಅನನ ವರಗ ಟಗಡ ಬದರಡ ಅವದ ಇವಥನ ಅಕಟರಸ ಗ ಈಸ ಅಗರಡ ನದರ ಮದಯದಲಲ ಕನನಡ ಫಲಮ ಇಡಸಟರ ಟರಯಕ ಕಲಕಡತ	Positive
ಹದ ಮ ಕಬ ರಯಲಸ ಹಗ	not-Kannada
ತಗರ ತಪಪ ಸಪರ	Positive
ಎಲಲ ಅಶಗಳನನ ಗಮನಸದರ ನಮ ದಶದಲಲಯ ಸರವಭಮತವ ಇರಬಕತತ ಅನಸತತ	Positive
ಸಪರ ಸಗ 100 ಡಸ ಪಕಕ	Positive
ಬಯಕಟಟ ಟಕ ಟಕ	not-Kannada
ದವರ ಅನನನ ಇದನ ಆಡರ ಶಪ ಕಟಡಡ ನಜನ ಆಗದರ ಇಡಡ ಇರತತರ ಎಲಲ ಓದ ಜಗದಲಲ ಮನಶಯರ ಕನನಗ ಕನಲ ಆಸತ ಜ ಶರ ಕಷಣ	Positive
ಇದ ಒಳಳಯ ಹಡಒಳಳಯ ಹಡಗಳ ಕಳತ ಕಳತ ಇಷಟ ಆಗತತವ	Positive
ನಕಸತರಕ ಕಸ	unknown state
ಇದ ಖಡತ ಚರತರ ಸಷಟಸ ಅವತರ	Positive
ಫಣ ಫರಮ ಟಲವಡ	not-Kannada
ಕವರದ ಥಥಯಯಯಗ ನರಯಣಪಪ	unknown state
ಜಐ ಪರಜವಲನಜಈ ಬಸ	Mixed feelings
ಸ ಸ ಕರಕ ಪರಟ ಮವ ಆಲ ಹರಯನ ನಮ	Mixed feelings
ತರ ಹಸ ಪರಯತನ ನಮಗ	Mixed feelings
ವಶಲ ಶಟ ಲ ಬಧ ಸಲ ಮಗನನನ ಪರಕರನ ಬಲಸಬಕ ಅನನಡಡರ ನಮ ಕಡ ಮದ ಯಕಷಗನ	Negative
ಬರ ನಮ ವಡಯಸ ಡಲಟ ಅಗಲಲ ಬಡ ಬರ ಡನತ ವರ ಡ ವಡಯಸ ಬರ	Positive
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಲವ ಉ ಶಟ ಸಪರ	not-Kannada
ನದ ಪರಥಸರಥ ನನನ ಬರದ ತಲಲ ನನ ಬರತನ ಬಳಮಗನ ಕರಕಟ ಅಡರಸ ಹಳ ಬಕಪ	Negative
ದಶ ಮಡಲ ಪಲಸ ಬನ ಅಗಬಕ ಟಕ ಟಕ	Positive
ಬಡ ಗರ ವರಕಲರ ಎದರ ಮದಕ ಹಗಡ ನಲಕ ಚನ ನದ ನವ ಬಗ ಫಸಟ ಹಗಬಕನತಲವ ಹಗ	Mixed feelings
ನಮ ಗ ಎಸತ ಅಗದದರ ಲಕಕಮಟಸಮದ	Positive
ಮಢ ನಬಕ ಇರವವರಗ ನಮಮ ದಶ ಉದದರ ಹಗಲಲ	Negative
ಸಪರ ಬರ ನನ ನಮನ ಸಪಪರಟ ಮದಥನ	Positive
ಕರಟವ ಕನನದಗ ಓಕ ಬರ	not-Kannada
ತಬ ವರಷದ ಹದ ಕಳದದಈಗ ಸಕಕದದ ಸಕತ ಖಷ ಆಗದ	Positive
ಸಪರ ಗರ ಯಲಲಡಡ ಗರ	Positive
ಸಪರ ವಡಯ	Positive
ಟರಲರ ತಬ ಚನನಗದ ನಮಮ ಚತರ ಒಳಳ ಯಶಸವ ಆಗಲ	Positive
ಮವ ನಡಲ ವಟಗ ನಲಲ ಇದದನ	Positive
ಈನ ದಲಗ ಗರ	Mixed feelings
ನಕಸತ ಲವಲ ಮವ ಇನ ಪರಜವಲ	not-Kannada
ಭಲ ವರಷದ ನತರ ಕಲ ಟಬ ಖಶಯತ	Positive
ಒದದ ಮತ ಚಪಪಲ ಹಡದತ ಇತತ ಗರ ಒಬಬಬರ ನಡಬಕತತ ಸರ ಚನಗ ಹಟಟರವ ತರಹ ಆಡತತರ ನಮಮ ದಶದಲಲ ಎಷಟ ಜನ ಸನಕರ ಸಯತರ ಅವರಗ ಏನಗಬಕ ಟಕ ಟಕ ಲಕ ಬದರ ಸಕ ನನನ ಕಮಟ ಅಲಲ ಏನದರ ತಪಪದದರ ಕಷಮಸ ಜ ಹದ ಜ ಕರನಟಕ ಮತ	Mixed feelings
ಉತತರ ಕನನಡದ ಹಮಮ ನಟ ಆಡ ನಮಮ ಮಚಚನ	Positive
ಸದಪ ಸರ ಅಡ ದರಶನ ಸರ ಅವರಗ ಇರ ಫಯನಸ ಫಲಯಗ ರಕಷತ ಶಟಟ ಇಲಲ ಸಗ 2ಮ ಮತತ ಟಸರ 85ಮ ಬಕ ಗರ ಮವ ವಟಗ	Positive
ನಮಮ ದಶದ ನತರ ಅವರಗ ಸವತತರ ಸಕಕರವದ ಅವರಕ ಅಷಟ ಮದವರದರ ನನಮಮ ದಶ ಕಗರಸ ಹದಗಳ ಯಕ ಉದಧರ ಮಡಲಲಲ	Positive
ಇದ ಫತಸ ಫಲಮ ತರ ಕತಡ ಅಲವ	Negative
ವ ವ ವ ವ ವಲವಲ ಗರ	not-Kannada
ದಯವಟಟ ಬಡಗಡ ದನಕವನನ ಹಳ	Negative
ನದ ಪರಥಸರಥ ಯಕ ಹಡಕಡ ಬದರ ತಲಲ ಕಡತಯ ಬವರಸ	Negative
ಸಪರಬ ಸಗ ರಖತ ಶಟ ಕರನಟಕ ಬಸ	not-Kannada
ಸಗ ಫಸಟ ಟಮ ಯರಗ ತಲದಲ ಲಕ ಮದ	unknown state
ನಗ ದಯ ಮವ ಎಸಟ ಇಸತ ಅಗಡ ಆಡರ ಕವಲ ವರಡ ಇಡ ಹಲಕ ಅಗಲಲ	Positive
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಪರಸದ ರಜ ತಲನದ ಆಡ ಕನನಡ ಬಶ ಮಲ ಅಭಮನ ಸಪರ ಗರ	Positive
ಟರಲ ಮನಸಟರ_ಕನನಡ ಲ ಸಕತ ಡಯಲಗಸ ಕನಲ ನಕಸತ ನಮ ಬಬಸ ಫಲಮ ಗ ನನ ಐಡ ಡಯಲಗಸ ಹಕಲಲ ಹಗದರ ಏಡ ಥನ ಯಲರ ಮಥಡಡ ಫಲಮ ನಡಕಡ ಯಲಲ ಫಸ ಗಲ ಓಬರನ ಓಬರ ಬಕಡ ಈರ	Positive
ಚನಗಡ ಅತ ಪಡ ಪಡ ನದರ ಸವಲಪ ಹಶರ ಡಟ ಖಲ ಅಗಥ	Positive
ನಮಮ ಪರಜವಲ ಬಸ ಗ ಒದ ಒಳಳ ಯಶಸಸ ಅನನ ಕಡಲ ಚತರ	Positive
ಸಚನ ಮಕರ ಹ ಬರ	Mixed feelings
ದಯ ಸಡಲವಡ ನಯ ಕವನ	Positive
ಶನವ_ಶರವತಸವ ರಕಷತ_ಶಟ ಬಸಟ ಪರ ಫರವರ ರಶಮಕ_ಮದನನ	Positive
ಸಪರ ವಡಯ	Positive
ಇಬರನ ಕನನಡದವರ ಇಬರ ಬಲಬಕ ಸಪಪರಟ ಮದ ಕಪರ ಮದಬದ	Positive
ಕಷಮಸ ಒಳಳಯತನಕಕ ಇಲಲ ಬಲ ಇಲಲ	Negative
ಐ ಡ ಲಕ ಗರ ದಶಪಡ ಮವಸ ಇಮ ಗನನ ಋಷ	not-Kannada
ನನ ಕನನದ ಫಲ ಮವ	Mixed feelings
ಸದದರಜ ವಹಕ	unknown state
ಸಪರ ಜಐ ಬಸ	not-Kannada
ನಮ ಕನನಡ ಚನನಲ ದನಶ ಸ ಕಜಜಕ	Positive
ನವ ಹಲಥರ ಹಲ ಮತ 100 ಸತಯ ಅನನ	Positive
ಹ ನವ ಸಪರ ಬರ ಐ ಆಮ ಬಗ ಫಣ ಯರ ವಐಸ	Positive
ಸಪರ ವಡಯ ಬರ	not-Kannada
ಟರಲರ ತಣಕನ ಸಕಕತತಗದ ಒಳಳದಗಲ ಚತರ ತಡಕಕ	Positive
ರಕಷತ ಶಟಟ ನಮಮ ಕನನಡ ಇಡಸಟರ ಬಳವಣಗ ಮಡಲಕಕ ಬದ ಇನನಬಬ ರಜಕಮರ ಅಣಣವರ ಒದ ಲಕ ಮತತ ಎಷಟದ ಜನರ ಕನನಡದಲಲ ಕಮಟ ಮಡದವರಗ ಹಯಡಸಪ ಜ ಕರನಟಕ ಮತ	Positive
ಚಕಕ ಚಕಕ ಚಕಪಪ ನಡಡ ಇಡಡ ಬಗ ಹಲಪಪ ಪಡ ಪಡ ಕಲಬಕ ತಮಭ ತಮಭ ಟಯಸಗ ಪದಗಲ ಸಘ ಅಗದದರ ಇನನ ಕಶಪದಟಡ ಐ ಲವ ಜನತಲ ಮನ ಮವ	Positive
ದರಶನ ಸರ ಸವಲಪ ಸಹಯ ಮದದರ	Positive
ಹಚಹ ವಕಟ ಸನ ಇನನ ಜವತ ಐಡಭಯ ಪದಬಡ ಸರ	Negative
ಹಡ ಆಕಟಲಲ ವಡಯ ನದಕಕ ಮಚ ಇದನ ನಗ ಐಡ ರಥ ಟಬ ಸರ ಹಗ ಪಡ ಪಡ ಯಶತ ಬರ ಕನಸ ಬಲತಟಟ ಹಗ ಒಬಬ ವಯಕತ ಶವ ದವಸತನ ಹತರ ಈರತನ ನನ ದವಸತನ ದಡ ಆಚ ಬರವಗ ನನನ ಹತರ ಇಡಡ ಬಲಪತರ ಕಲಟನ ಬಟ ದಡಡ ಮತರ ಈಸಕಲಲ ಬಟ ಹಟ ಅಗರತರ ತನನದ ಸಕನ ಟನ ಫರಹಡ ಪರತ ಗಯ ಅಗರಟಟ ಬಟ ಫಲ ಬಡ ಅಷಟಗ ಕಸಲಲ ಗಟಟಗಲಲ ಬಟ ಇವತ ವಡಯ ನಡಡ ಮಲ ಮಸಟಲ ಇರಬಕ ಅತ ಅನಸತ	Positive
ಚತನ ಕಮರಬ ಗರ ವ ಆಹ ಕಮಟ ಮದಧವನ ಹಶರ ನಡನನಲಲ ಕನ	Mixed feelings
ಪಲಸ ಯಸಟಟ ಜನ ನಡಲಲ ಫಲಮ ಇನನಮ ರಲಸ ಮದ ನನ ಅತ ಬಗಗ ಫಣ ಆಫ ದಯ	Positive
ನಸ ಕಮಟ ಬರ	Positive
ಸಪರ ಸಗ ಸಪರ ಮವ	not-Kannada
ಬಹ ಭಯ ಹದಸಥನ ಜಐ	not-Kannada
ದಯ ಮವ 2012 ನಲಲ ಬದ ಅಡಲ ರಕಷಸ ಮವ ಸಟರ ಕಪ ಎಡ	Negative
ಜಐ ಕರಕ ಸಟರ	Positive
ತಲಗ ಲ ಸಪರ	unknown state
ಸಪರ ಪಜಜ ಐ ಆಮ ಬಸ	Positive
ಟಕ ಟಕ ಬನನದ ಜಲ ಜಲ ಜಐ ಹದ ಜಐ ಕರನಟಕ	not-Kannada
ಚನ ಆಪಪ ಯಲಲ ರಮವ ಮಡಬಕ ಸರ ನವ ಇನನ ಸಟರನಗಗ ವರನಗ ಕಡಬಕ ಸರ	Positive
ಲ ಗಬದ ಲಕಸ ಇಡ ಅದನ ಸಗಟಟ ನಮಗಲಲ ಓಲ ಭಕಷಕರ ಥರ ಲಕ ಮದ ಲಕ ಮದ ಆಡಕಡ	Negative
ಕಚಚ ಬಸ ಫಸ	Mixed feelings
ಸಪರ ಸರ ಸಗ	not-Kannada
ಪಥವ ನಯಕ ಜಐ ರಬರರಟ	unknown state
ವತಗ ಫರ ಹದ ನಲಕ	Negative
ಎಡ ಟಮ ಗ ವಟ ಮಡತ ಏಧವ ಅತ ಇಟ ಬನ ಏಜ ಬಡಟ	Positive
ದಯನದ ಕ ಲಲ ಅತರಜತ ವವಹ ಕಯಸಟ ಫಅರ ಇರಲಲ ನನ ಕಯಸಟ ಕಯಸಟ ಅತ ವಟ ಹಕಕಲ ಯಲಲ ಮಕಸಡ ಹಗರತರ ಸರಯದವರಗ ವಟ ಹಕತರ ಜಲಗ ಹಗಬದವರಗ ಹಕಕಲ	Negative
ಐ ಕನತ ಸ ಹದ	not-Kannada
ಏನ ಸಪರ ಹಲದಯ ಬರ ಇನನ ಎನ ಬಕ	Positive
ಕಚನ ಕಠದಲಲ ಮಡ ಬದ ತಗರತಪಪ ಹಳ ನನಪ ತಜ ಮಡತ	Positive
ಸಗ ಸಪರ ಅನನರ ಹಯಡಸ ಉಪ ಮದ	Positive
ದಬಸ ಫಸ ಕಡ ದಡಡದಗ ವಲ ಕಮ ಮದತವ ಸರ	Positive
ಮಯಸಕ ದರಕಟರ ಬಸ ರಬರಟ ಮವಗ ಇರಲ ಇನವರ ಲಕ ಮಡದರ	unknown state
ಸಪರ ಸಗ ಐ ಲಕ ಇತ ಸ ಮಚ	Positive
ಫಣ ವರ ಬಟಟ ಧಯವತತ ಮವ ಗ ಸಪಪರಟ ಮದರಪಪ ನಮ ಕನನಡ ಮವ ಹಲವಡ ಲವಲ ಗ ಬರಲ	Positive
ನಜವದ ಸಟರ ನವ	Positive
